period,district,active_shgs_no,amount,amount_of_loan_disbursed,appl_sponsored,cases_pending,disbursed_no,loan_disbursed,loan_disbursed_no,loan_sanctioned,loan_sanctioned_no,no_fo_shgs_credit_linked,no_of_active,no_of_active_shgs,no_of_cases,no_of_cases_pending,no_of_sponsored,no_of_sponsored_application,no_of_sponsored_application_in_fy_22_23,no_of_sponsored_application_in_fy_23_24,no_of_sponsored_application_in_fy_24_25,no_of_sponsored_application_in_fy_fy_24_25,pending_no,sanctioned_no,sep_g,sep_g_disburs_ed_by_branch,sep_g_disbursed_no,sep_g_sanctioned_no,sep_g_sponsord_ot_bank_branches,sep_g_target_for_fy_20_21,sep_i,sep_i_disburs_ed_by_branch,sep_i_disbursed_no,sep_i_sanctioned_no,sep_i_sponsord_ot_bank_branches,sep_i_target_for_fy_20_21,shg_credit_linkage,shg_credit_linkage_active_shgs,shg_credit_linkage_sponsord_ot_bank_branches,shg_loan_disbursed_no,shg_loan_sanctioned_no,sponsored_in_fy_21_22,sponsored_in_fy_22_23,sponsored_no,target_amount_of_sep_g_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_g_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_g_loan_to_be_disbursed_fy_24_25,target_amount_of_sep_i_loan_to_be_disbursed_fy_22_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_23_24,target_amount_of_sep_i_loan_to_be_disbursed_fy_24_25,target_amount_of_shg_loan_to_be_disbursed_fy_23_24,target_amount_of_shg_loan_to_be_disbursed_fy_24_25,target_disb_no,target_for_2019_20_no,target_for_fy_2020_21_no,target_for_fy_20_21,target_fy_20_21_no,target_fy_21_22_no,target_fy_22_23,target_fy_22_23_no,target_fy_23_24,target_fy_24_25,target_fy_fy_22_23,target_fy_fy_23_24,target_fy_fy_24_25,total_pending,total_sponsored
December 2019,Paschim Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,188.0,,,,,,1869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Paschim Medinipur,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,268.0,,,,,,2963.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Purba Bardhaman,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,242.0,,,,,,2585.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Purba Medinipur,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,,230.0,,,,,,2685.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Purulia,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,80.0,,,,,,724.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,South 24 Parganas,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,241.0,,,,,,2937.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2019,Uttar Dinajpur,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,160.0,,,,,,1807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 2020,Alipurduar,,0.0,,,,,,,,,,539.0,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
December 2020,Bankura,,0.0,,,,,,,,,,2110.0,,1.0,9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,6.0,,,,,,,,,,,,
December 2020,Birbhum,,0.0,,,,,,,,,,3378.0,,0.0,92.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
December 2020,Cooch Behar,,0.0,,,,,,,,,,1514.0,,0.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
December 2020,Dakshin Dinajpur,,0.0,,,,,,,,,,1560.0,,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
December 2020,Darjeeling,,0.03,,,,,,,,,,1830.0,,1.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,
December 2020,Hooghly,,0.01,,,,,,,,,,5033.0,,0.0,137.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,25.0,,,,,,,,,,,,
December 2020,Howrah,,0.0,,,,,,,,,,1397.0,,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
December 2020,Jalpaiguri,,0.16,,,,,,,,,,1214.0,,0.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,
December 2020,Jhargram,,0.0,,,,,,,,,,417.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
December 2020,Kalimpong,,0.0,,,,,,,,,,71.0,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
December 2020,Kolkata,,0.0,,,,,,,,,,1186.0,,0.0,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
December 2020,Malda,,0.0,,,,,,,,,,869.0,,0.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
December 2020,Murshidabad,,0.06,,,,,,,,,,4775.0,,0.0,174.0,10.0,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,,,,,,,,,,74.0,,,,,,,,,,,,
December 2020,Nadia,,0.0,,,,,,,,,,5470.0,,0.0,58.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
December 2020,North 24 Parganas,,0.09,,,,,,,,,,14115.0,,5.0,291.0,31.0,,,,,,,,,,,,,,,,,,,,,,,14.0,15.0,,,,,,,,,,,,,,70.0,,,,,,,,,,,,
December 2020,Paschim Bardhaman,,0.0,,,,,,,,,,2426.0,,0.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
December 2020,Paschim Medinipur,,0.03,,,,,,,,,,3362.0,,1.0,57.0,11.0,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
December 2020,Purba Bardhaman,,0.01,,,,,,,,,,2717.0,,0.0,33.0,5.0,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,23.0,,,,,,,,,,,,
December 2020,Purba Medinipur,,0.08,,,,,,,,,,3057.0,,0.0,65.0,10.0,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,15.0,,,,,,,,,,,,
December 2020,Purulia,,0.04,,,,,,,,,,1156.0,,1.0,16.0,7.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
December 2020,South 24 Parganas,,0.01,,,,,,,,,,2945.0,,0.0,61.0,7.0,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,22.0,,,,,,,,,,,,
December 2020,Uttar Dinajpur,,0.0,,,,,,,,,,1741.0,,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,29.0,,,,,,,,,,,,
December 2021,Alipurduar,,0.0,,,,0.0,,,,,,,578.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,
December 2021,Bankura,,0.04,,,,2.0,,,,,,,2323.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,
December 2021,Birbhum,,0.34,,,,16.0,,,,,,,3515.0,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,14.0,,,,,,,,2.0,
December 2021,Cooch Behar,,0.08,,,,4.0,,,,,,,1656.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,10.0,,,,,,,,3.0,
December 2021,Dakshin Dinajpur,,0.0,,,,0.0,,,,,,,1732.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,7.0,,,,,,,,0.0,
December 2021,Darjeeling,,0.06,,,,3.0,,,,,,,2138.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,6.0,,,,,,,,3.0,
December 2021,Hooghly,,0.11,,,,5.0,,,,,,,5696.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,30.0,,,,,,,,1.0,
December 2021,Howrah,,0.02,,,,1.0,,,,,,,1668.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,9.0,,,,,,,,2.0,
December 2021,Jalpaiguri,,0.02,,,,1.0,,,,,,,1456.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,11.0,,,,,,,,0.0,
December 2021,Jhargram,,0.0,,,,0.0,,,,,,,454.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,
December 2021,Kalimpong,,0.0,,,,0.0,,,,,,,124.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4.0,,,,,,,,0.0,
December 2021,Kolkata,,0.0,,,,0.0,,,,,,,1457.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5.0,,,,,,,,0.0,
December 2021,Malda,,0.04,,,,2.0,,,,,,,964.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,3.0,
December 2021,Murshidabad,,0.13,,,,6.0,,,,,,,5285.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,28.0,,,,,,,,1.0,
December 2021,Nadia,,0.08,,,,4.0,,,,,,,5754.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,18.0,,,,,,,,1.0,
December 2021,North 24 Parganas,,0.06,,,,3.0,,,,,,,15576.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,63.0,,,,,,,,2.0,
December 2021,Paschim Bardhaman,,0.02,,,,1.0,,,,,,,2745.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,10.0,,,,,,,,0.0,
December 2021,Paschim Medinipur,,0.13,,,,6.0,,,,,,,3775.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,18.0,,,,,,,,1.0,
December 2021,Purba Bardhaman,,0.17,,,,8.0,,,,,,,3252.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,16.0,,,,,,,,2.0,
December 2021,Purba Medinipur,,0.17,,,,8.0,,,,,,,3344.0,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,14.0,,,,,,,,1.0,
December 2021,Purulia,,0.04,,,,2.0,,,,,,,1230.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,8.0,,,,,,,,1.0,
December 2021,South 24 Parganas,,0.0,,,,0.0,,,,,,,3489.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,14.0,,,,,,,,1.0,
December 2021,Uttar Dinajpur,,0.0,,,,0.0,,,,,,,2068.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,11.0,,,,,,,,0.0,
December 2022,Alipurduar,,0.02,,,,,,,,,,,,,0.0,,,1.0,,,,,,,,1.0,1.0,,,,,2.0,2.0,,,,,,,,,,,0.09,,,0.5,,,,,,,,,,,6.0,,,,25.0,,,,
December 2022,Bankura,,0.07,,,,,,,,,,,,,0.0,,,5.0,,,,,,,,3.0,4.0,,,,,20.0,22.0,,,,,,,,,,,0.23,,,0.98,,,,,,,,,,,9.0,,,,65.0,,,,
December 2022,Birbhum,,0.49,,,,,,,,,,,,,2.0,,,32.0,,,,,,,,21.0,21.0,,,,,209.0,212.0,,,,,,,,,,,0.39,,,3.53,,,,,,,,,,,20.0,,,,210.0,,,,
December 2022,Cooch Behar,,0.12,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,5.0,5.0,,,,,44.0,42.0,,,,,,,,,,,0.25,,,2.01,,,,,,,,,,,13.0,,,,135.0,,,,
December 2022,Dakshin Dinajpur,,0.05,,,,,,,,,,,,,0.0,,,3.0,,,,,,,,2.0,2.0,,,,,12.0,12.0,,,,,,,,,,,0.18,,,1.35,,,,,,,,,,,8.0,,,,82.0,,,,
December 2022,Darjeeling,,0.07,,,,,,,,,,,,,0.0,,,4.0,,,,,,,,3.0,3.0,,,,,35.0,34.0,,,,,,,,,,,0.44,,,2.1,,,,,,,,,,,15.0,,,,125.0,,,,
December 2022,Hooghly,,0.19,,,,,,,,,,,,,0.0,,,11.0,,,,,,,,8.0,8.0,,,,,127.0,141.0,,,,,,,,,,,0.57,,,4.62,,,,,,,,,,,28.0,,,,333.0,,,,
December 2022,Howrah,,0.05,,,,,,,,,,,,,0.0,,,3.0,,,,,,,,2.0,2.0,,,,,34.0,34.0,,,,,,,,,,,0.24,,,1.32,,,,,,,,,,,11.0,,,,110.0,,,,
December 2022,Jalpaiguri,,0.07,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,3.0,3.0,,,,,15.0,15.0,,,,,,,,,,,0.17,,,1.55,,,,,,,,,,,9.0,,,,84.0,,,,
December 2022,Jhargram,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,1.0,1.0,,,,,,,,,,,0.06,,,0.3,,,,,,,,,,,2.0,,,,20.0,,,,
December 2022,Kalimpong,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,0.06,,,0.32,,,,,,,,,,,2.0,,,,20.0,,,,
December 2022,Kolkata,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,0.0,0.0,,,,,27.0,7.0,,,,,,,,,,,0.1,,,2.0,,,,,,,,,,,5.0,,,,100.0,,,,
December 2022,Malda,,0.05,,,,,,,,,,,,,0.0,,,9.0,,,,,,,,2.0,2.0,,,,,7.0,7.0,,,,,,,,,,,0.11,,,0.94,,,,,,,,,,,6.0,,,,60.0,,,,
December 2022,Murshidabad,,0.14,,,,,,,,,,,,,0.0,,,7.0,,,,,,,,6.0,7.0,,,,,26.0,24.0,,,,,,,,,,,0.6,,,4.18,,,,,,,,,,,32.0,,,,260.0,,,,
December 2022,Nadia,,0.19,,,,,,,,,,,,,2.0,,,8.0,,,,,,,,8.0,8.0,,,,,124.0,133.0,,,,,,,,,,,0.45,,,3.89,,,,,,,,,,,26.0,,,,266.0,,,,
December 2022,North 24 Parganas,,0.6,,,,,,,,,,,,,1.0,,,29.0,,,,,,,,26.0,26.0,,,,,353.0,368.0,,,,,,,,,,,1.57,,,13.66,,,,,,,,,,,74.0,,,,852.0,,,,
